candidate,kind,aum_or_oi_usd,passes_threshold,api_public_rest,api_streamable_http_wss,symbol_naming,rate_limit_posture,api_quality_score,composite_score,notes
gateio_futures,CEX,>$5B AUM (public reporting; gate.io.tier-1 exchange),Y (>$500M CEX threshold),Y (https://api.gateio.ws/api/v4/futures/usdt/contracts → 714 USDT perps),Y (wss://fx-ws.gateio.ws/v4/ws/usdt),<COIN>_USDT (e.g. BTC_USDT),documented 900 req/min,9/10,8.8/10,Top pick — broadest catalog AFTER MEXC; documented robust API; aggressive listing cadence (good shadow-test bed)
mexc_futures,CEX,>$3B AUM (public reporting; tier-1 by Coingecko),Y,Y (https://contract.mexc.com/api/v1/contract/detail → 877 USDT perps),Y (wss://contract.mexc.com/ws),<COIN>_USDT (e.g. BTC_USDT),100 req/2sec per IP,8/10,8.7/10,Top pick — LARGEST perp catalog (877); high-velocity listings; rate limits tighter than Gate.io but workable
kraken_futures,CEX,>$2B AUM (public reporting; long-running tier-1),Y,Y (https://futures.kraken.com/derivatives/api/v3/instruments → 330 instruments),Y (wss://futures.kraken.com/ws/v1),pi_<COIN>USD (e.g. pi_xbtusd),300 req/min documented,9/10,7.5/10,Smaller perp catalog (330 vs 714/877) — less signal density; high trust but lower data flywheel
jupiter_perps,DEX,$691M TVL (DefiLlama live 2026-05-16),N (<$1B DEX threshold),Y (https://perps-api.jup.ag — Solana RPC underlay),limited (HTTP poll-only on most endpoints),JLP basket-based (BTC/ETH/SOL only — 3 assets!),Solana RPC limits,5/10,3.5/10,Disqualified — only 3 tradeable assets (BTC/ETH/SOL via JLP basket); doesn't fit AlgoVault's broad-coverage model
dydx_v4,DEX,$98M TVL (DefiLlama live 2026-05-16),N (<$1B DEX threshold),Y (https://indexer.dydx.trade/v4/),Y (wss://indexer.dydx.trade/v4/ws),<COIN>-USD (e.g. BTC-USD),documented,8/10,6.0/10,Disqualified — TVL well below $1B threshold post-Cosmos-chain migration; revisit if OI recovers above threshold
drift_protocol,DEX,~$50-100M OI estimated,N (<$1B DEX threshold),Y (https://dlob.drift.trade/),limited,SOL-based perps,Solana RPC limits,7/10,5.0/10,Disqualified — sub-$100M OI doesn't meet threshold
vertex_protocol,DEX,~$30-80M OI estimated,N (<$1B DEX threshold),Y (https://archive.prod.vertexprotocol.com/v2/),Y (wss://archive.prod.vertexprotocol.com/v2/ws),product-id based (numeric IDs),Arbitrum RPC underlay,7/10,4.5/10,Disqualified — sub-threshold OI; numeric product IDs add adapter mapping complexity
gmx_v2,DEX,~$100-300M OI (Arbitrum + Avalanche),N (<$1B DEX threshold),limited (subgraph-only for candles),N (Subgraph polling),GM-token-based (not direct symbol),Subgraph rate-limits,5/10,3.5/10,Disqualified — Subgraph dependency makes adapter brittle; sub-threshold OI
hyperliquid_secondary,DEX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0/10,Hyperliquid is already integrated; "secondary DEX" interpretation moot (no separate venue exists)
okx_additional_products,CEX,n/a (OKX already integrated),n/a,n/a,n/a,n/a,n/a,n/a,0/10,OKX already at status='promoted' — additional product lines (options, etc.) out of scope for spot+perp signal-MCP
bybit_spot_perp_v2,CEX,n/a (Bybit already integrated),n/a,n/a,n/a,n/a,n/a,n/a,0/10,Bybit already at status='promoted' — v2 perp API would be a same-venue adapter change, not a new venue
